4465833,"795 Fifth Avenue, Apt. 39, Upper East Side",40.7652672,-73.9719652
4465844,"795 Fifth Avenue, Apt. 14, Upper East Side",40.7652672,-73.9719652
5201581,"988 Fifth Avenue, Apt. PENTHOUSE, Upper East Side",40.7869778,-73.956131
4465845,"795 Fifth Avenue, Apt. 10, Upper East Side",40.7652672,-73.9719652
3825456,"35 East 76th Street, Apt. 2601-2610, Upper East Side",40.7742972,-73.96299309999999
4465850,"795 Fifth Avenue, Apt. 21, Upper East Side",40.7652672,-73.9719652
5182625,"151 East 58th Street, Apt. PH53W, Upper East Side",40.7615678,-73.967902
5239230,"944 Park Avenue, Apt. 16, Upper East Side",40.7773687,-73.9597024
5113061,"12 East 80th Street, Upper East Side",40.777128,-73.96253600000001
2843445,"225 East 64th Street, Apt. LL, Upper East Side",0,0
5191006,"432 Park Avenue, Apt. 35B, Midtown East",40.7616335,-73.9717988
5199494,"12 East 80th Street, Apt. 1, Upper East Side",40.777128,-73.96253600000001
5158647,"4 West 58th Street, Apt. Floor 10, Central Park South",33.9897733,-118.273956
5161091,"4 West 58th Street, Apt. Floor 11, Central Park South",33.9897733,-118.273956
4568348,"795 Fifth Avenue, Apt. 6, Upper East Side",40.7652672,-73.9719652
5219592,"11 East 36th Street, Apt. 2, Murray Hill",40.749582,-73.9826338
5232506,"135 East 15th Street, Gramercy",40.7345122,-73.9874442
5188218,"356 Bedford Avenue, Apt. COMM A, Williamsburg",40.712209,-73.96305
5206520,"166 East 81st Street, Upper East Side",40.77565,-73.95707800000001
5161121,"4 West 58th Street, Apt. Floor 12, Central Park South",33.9897733,-118.273956
5118730,"157 West 57th Street, Apt. 45C, Midtown West",40.76555889999999,-73.9789918
5161130,"4 West 58th Street, Apt. Floor 13, Central Park South",33.9897733,-118.273956
5145700,"19 West 12th Street, Greenwich Village",40.7351953,-73.99539450000002
5209476,"944 Park Avenue, Apt. 7F, Upper East Side",40.7773687,-73.9597024
5159984,"800A Fifth Avenue, Apt. 205, Upper East Side",40.7656199,-73.971605
5203252,"795 Fifth Avenue, Apt. 16, Upper East Side",40.7652672,-73.9719652
5159367,"56 LEONARD ST, Apt. 39 WEST, Tribeca",40.7178984,-74.00638289999999
5230136,"61 Fifth Avenue, Apt. DUPLEX1, Greenwich Village",40.73508229999999,-73.99388189999999
5231192,"502 Park Avenue, Apt. PH28, Upper East Side",40.7633071,-73.9701458
5233096,"16 Remsen Street, Brooklyn Heights",40.694876,-73.998009
3786252,"111 West 67th Street, Apt. 42A, Upper West Side",40.77469360000001,-73.98134379999999
5203830,"212 West 18th Street, Apt. 9AB, Chelsea/Hudson Yards",40.7412267,-73.99877409999999
5134378,"30 PARK PLACE, Apt. 73A, Tribeca",40.7127831,-74.0090321
3709855,"260 East 67th Street, Apt. B, Upper East Side",40.7655494,-73.96110519999999
3707037,"140 West 12th Street, Apt. 200, West Village",41.2444941,-111.9792455
5123347,"105 East 29th Street, Apt. Ground Flo, Gramercy",0,0
5234255,"40 MERCER ST, Apt. 37, Soho/Nolita",40.7214721,-74.0012684
5214130,"56 LEONARD ST, Apt. 8A EAST, Tribeca",40.7178984,-74.00638289999999
5127060,"40 East 94th Street, Apt. 31D, Carnegie Hill",40.7855606,-73.9546989
5214877,"30 PARK PLACE, Apt. 64B, Tribeca",40.7127831,-74.0090321
5238156,"101 WARREN ST, Apt. 3250, Tribeca",40.7160005,-74.0126088
5203863,"115 East 18th Street, Gramercy",40.7368831,-73.98761379999999
5182471,"4 BEDFORD ST, Greenwich Village",40.7288786,-74.0032227
5243889,"56 LEONARD ST, Apt. 7 EAST, Tribeca",40.7178984,-74.00638289999999
5244061,"860 Fifth Avenue, Apt. 1HJ1 &  1H, Upper East Side",40.7694948,-73.96871039999999
5245083,"250 West Street, Apt. 2D, Tribeca",40.7218524,-74.01115399999999
5241034,"149 Franklin Street, Apt. 3rd floor, Tribeca",40.7190195,-74.00776979999999
5188758,"400 Park Ave South, Apt. 36B, Murray Hill",40.74306869999999,-73.98443449999999
4359775,"13 Gramercy Park South, Apt. 2 FL, Gramercy",40.73773,-73.9869368
3851021,"1 Central Park South, Apt. 1401, Central Park South",40.767434,-73.9811782
5151912,"57 IRVING PLACE, Apt. FL6, Gramercy",40.7363127,-73.9874145
5152919,"56 LEONARD ST, Apt. 26B WEST, Tribeca",40.7178984,-74.00638289999999
4568128,"455 West 20th Street, Apt. Duplex G1, Chelsea/Hudson Yards",0,0
3823656,"80 Riverside Blvd, Apt. PH2B, Upper West Side",40.7751099,-73.99006279999999
5235614,"160 West 12, Apt. 76, West Village",37.7323578,-80.6621874
5234555,"172 East 71st Street, Apt. 2, Upper East Side",40.7691392,-73.9617955
3698041,"109 GREENE ST, Apt. 4A, Soho/Nolita",40.7247329,-73.99985629999999
5173444,"157 West 57th Street, Apt. 43B, Midtown West",40.76555889999999,-73.9789918
5187597,"356 Bedford Avenue, Apt. COMM B, Williamsburg",40.712209,-73.96305
5214121,"30 PARK PLACE, Apt. 61B, Tribeca",40.7127831,-74.0090321
3460688,"1113 York Avenue, Apt. RETAIL, Upper East Side",40.759742,-73.959367
5193090,"10 MADISON SQUARE WEST, Apt. 5G, Flatiron",40.7427673,-73.9893285
5185678,"5 East 16th Street, Apt. 7, Flatiron",40.7372171,-73.9918362
5129790,"181 East 64th Street, Upper East Side",40.765127,-73.964753
5140846,"28 Laight Street, Apt. 6E, Tribeca",40.7221869,-74.0069829
5237751,"9 GAY ST, Greenwich Village",40.7334416,-74.00035299999999
